iter	Passed	Remaining
0	269	269286
1	305	152384
2	354	117938
3	415	103430
4	536	106673
5	727	120595
6	814	115602
7	863	107126
8	903	99524
9	945	93566
10	986	88663
11	1027	84637
12	1067	81036
13	1122	79043
14	1166	76591
15	1221	75119
16	1275	73768
17	1310	71506
18	1363	70421
19	1398	68508
20	1439	67125
21	1478	65739
22	1527	64899
23	1571	63926
24	1617	63068
25	1668	62516
26	1711	61660
27	1757	61009
28	1794	60078
29	1846	59713
30	1895	59254
31	1955	59152
32	1993	58423
33	2045	58123
34	2085	57513
35	2153	57678
36	2192	57074
37	2243	56795
38	2298	56643
39	2342	56231
40	2390	55915
41	2442	55706
42	2481	55220
43	2550	55410
44	2597	55129
45	2662	55222
46	2738	55518
47	2839	56309
48	2942	57110
49	2995	56922
50	3059	56926
51	3122	56919
52	3187	56957
53	3238	56739
54	3303	56752
55	3340	56310
56	3382	55960
57	3435	55796
58	3488	55638
59	3537	55426
60	3585	55188
61	3637	55038
62	3680	54737
63	3726	54501
64	3786	54462
65	3824	54116
66	3871	53909
67	3914	53651
68	3964	53490
69	4015	53344
70	4053	53035
71	4097	52815
72	4142	52598
73	4186	52388
74	4231	52184
75	4281	52049
76	4325	51854
77	4381	51789
78	4425	51590
79	4467	51376
80	4523	51320
81	4569	51154
82	4623	51086
83	4692	51172
84	4730	50925
85	4794	50956
86	4838	50775
87	4882	50602
88	4922	50387
89	4970	50260
90	5019	50141
91	5067	50017
92	5105	49789
93	5157	49705
94	5199	49530
95	5242	49365
96	5288	49229
97	5325	49017
98	5379	48955
99	5416	48745
100	5522	49157
101	5601	49316
102	5643	49148
103	5692	49040
104	5734	48883
105	5779	48743
106	5818	48561
107	5875	48529
108	5915	48354
109	5956	48192
110	5998	48044
111	6051	47977
112	6097	47864
113	6140	47723
114	6183	47587
115	6232	47497
116	6271	47332
117	6323	47265
118	6371	47169
119	6405	46976
120	6451	46866
121	6495	46748
122	6536	46608
123	6578	46477
124	6627	46394
125	6677	46317
126	6723	46220
127	6764	46081
128	6821	46056
129	6873	46001
130	6922	45920
131	6967	45813
132	7042	45910
133	7088	45812
134	7138	45738
135	7188	45667
136	7241	45617
137	7281	45482
138	7334	45431
139	7377	45318
140	7432	45280
141	7475	45170
142	7521	45073
143	7558	44932
144	7603	44834
145	7654	44775
146	7705	44714
147	7752	44627
148	7805	44578
149	7852	44496
150	7896	44396
151	7947	44341
152	7991	44239
153	8038	44157
154	8090	44104
155	8129	43984
156	8178	43914
157	8214	43776
158	8256	43670
159	8305	43605
160	8347	43500
161	8406	43483
162	8466	43474
