iter	Passed	Remaining
0	496	496371
1	574	286697
2	614	204337
3	649	161682
4	704	140132
5	748	123922
6	785	111415
7	826	102448
8	865	95300
9	901	89253
10	938	84421
11	976	80419
12	1015	77080
13	1054	74267
14	1092	71770
15	1131	69581
16	1171	67744
17	1213	66212
18	1253	64725
19	1286	63061
20	1326	61855
21	1367	60770
22	1410	59909
23	1447	58848
24	1485	57943
25	1519	56939
26	1553	55975
27	1589	55174
28	1626	54456
29	1673	54097
30	1730	54096
31	1768	53507
32	1805	52902
33	1849	52553
34	1885	51990
35	1921	51447
36	1960	51020
37	1997	50573
38	2033	50099
39	2070	49696
40	2107	49289
41	2142	48866
42	2177	48457
43	2241	48708
44	2283	48454
45	2323	48181
46	2357	47808
47	2393	47466
48	2428	47129
49	2463	46801
50	2499	46506
51	2550	46488
52	2586	46221
53	2619	45882
54	2653	45585
55	2694	45420
56	2736	45272
57	2772	45023
58	2805	44750
59	2839	44488
60	2879	44324
61	2916	44123
62	2951	43891
63	2983	43634
64	3015	43376
65	3049	43153
66	3083	42933
67	3115	42696
68	3145	42446
69	3178	42232
70	3213	42040
71	3245	41835
72	3283	41693
73	3316	41500
74	3349	41313
75	3383	41140
76	3416	40957
77	3449	40780
78	3484	40618
79	3516	40437
80	3548	40260
81	3581	40091
82	3614	39937
83	3647	39779
84	3680	39620
85	3714	39475
86	3755	39413
87	3795	39337
88	3838	39295
89	3872	39151
90	3905	39010
91	3938	38876
92	3971	38735
93	4005	38602
94	4038	38470
95	4073	38358
96	4107	38233
97	4139	38099
98	4172	37977
99	4205	37849
100	4239	37737
101	4275	37645
102	4311	37549
103	4344	37426
104	4377	37309
105	4409	37188
106	4440	37058
107	4475	36966
108	4511	36879
109	4546	36787
110	4580	36685
111	4613	36576
112	4645	36468
113	4678	36360
114	4709	36238
115	4740	36126
116	4774	36034
117	4806	35926
118	4838	35821
119	4870	35720
120	4903	35621
121	4936	35525
122	4971	35443
123	5015	35433
124	5061	35428
125	5109	35439
126	5143	35359
127	5180	35289
128	5213	35200
129	5251	35143
130	5288	35082
131	5323	35008
132	5355	34911
133	5388	34821
134	5421	34737
135	5455	34656
136	5489	34577
137	5522	34493
138	5554	34407
139	5587	34320
140	5619	34234
141	5650	34144
142	5683	34060
143	5717	33988
144	5751	33912
145	5783	33828
146	5815	33747
147	5847	33660
148	5878	33572
149	5911	33497
150	5944	33421
151	5978	33352
152	6015	33300
153	6049	33231
154	6083	33162
155	6121	33120
156	6155	33051
157	6189	32985
158	6222	32915
159	6258	32857
160	6290	32782
161	6324	32716
162	6355	32633
163	6388	32567
164	6421	32499
165	6457	32444
166	6486	32355
167	6518	32282
168	6551	32215
169	6583	32140
170	6616	32075
171	6650	32017
172	6681	31941
173	6714	31872
174	6745	31802
175	6777	31732
176	6810	31665
177	6843	31604
178	6876	31537
179	6905	31459
180	6938	31393
181	6970	31331
182	7003	31266
183	7036	31203
184	7070	31148
185	7102	31081
186	7136	31028
187	7169	30965
188	7208	30930
189	7242	30875
190	7273	30808
191	7307	30752
192	7339	30689
193	7372	30629
194	7405	30573
195	7440	30520
196	7469	30446
197	7501	30384
198	7531	30315
199	7566	30264
200	7599	30207
201	7634	30159
202	7671	30118
203	7702	30054
204	7737	30006
205	7770	29948
206	7802	29890
207	7834	29832
208	7867	29776
209	7899	29716
210	7931	29659
211	7965	29606
212	7998	29552
213	8030	29496
214	8064	29446
215	8098	29393
216	8132	29344
217	8168	29301
218	8202	29251
219	8236	29200
220	8269	29149
221	8303	29098
222	8336	29047
223	8368	28990
224	8400	28934
225	8435	28888
226	8466	28832
227	8498	28776
228	8530	28722
229	8561	28663
230	8595	28615
231	8628	28562
232	8660	28509
233	8693	28458
234	8728	28414
235	8762	28365
236	8793	28311
237	8824	28252
238	8857	28204
239	8891	28156
240	8923	28104
241	8956	28054
242	8990	28006
243	9023	27958
244	9057	27910
245	9091	27865
246	9124	27817
247	9155	27762
